,10,20,40,80
102 -> 97  -> 108 -> 114 -> 115,30798.0,30904.0,30920.0,33550.0
113 -> 103 -> 109 -> 104 -> 96 ,30805.0,30808.0,30930.0,31952.0
98  -> 108 -> 115 -> 97  -> 114,30811.0,30844.0,30847.0,32768.0
102 -> 113 -> 104 -> 100 -> 111,30825.0,30896.0,31090.0,31718.0
113 -> 103 -> 107 -> 96  -> 98 ,30828.0,30858.0,30980.0,33060.0
108 -> 98  -> 102 -> 97  -> 115,30832.0,30858.0,30941.0,32479.0
101 -> 104 -> 109 -> 97  -> 111,30878.0,30892.0,30911.0,32030.0
97  -> 108 -> 114 -> 115 -> 102,30887.0,30903.0,31434.0,32861.0
96  -> 115 -> 111 -> 109 -> 97 ,30925.0,31070.0,31335.0,34028.0
102 -> 97  -> 115 -> 98  -> 107,30975.0,31003.0,31003.0,33438.0
103 -> 108 -> 115 -> 107 -> 102,31005.0,31013.0,31115.0,32165.0
109 -> 113 -> 103 -> 107 -> 98 ,31012.0,31045.0,31062.0,33049.0
97  -> 114 -> 108 -> 102 -> 104,31027.0,31069.0,31180.0,33942.0
106 -> 99  -> 100 -> 111 -> 104,31028.0,31043.0,31073.0,32085.0
104 -> 109 -> 100 -> 99  -> 111,31061.0,31069.0,31216.0,32052.0
106 -> 108 -> 97  -> 115 -> 114,31066.0,31096.0,31314.0,32032.0
109 -> 103 -> 113 -> 107 -> 96 ,31083.0,31096.0,31514.0,32644.0
113 -> 107 -> 109 -> 103 -> 104,31093.0,31098.0,31186.0,32286.0
111 -> 104 -> 99  -> 100 -> 109,31112.0,31128.0,31239.0,32172.0
104 -> 111 -> 100 -> 106 -> 97 ,31141.0,31191.0,31389.0,31908.0
115 -> 98  -> 107 -> 96  -> 109,31142.0,31178.0,31307.0,33459.0
115 -> 98  -> 96  -> 107 -> 109,31152.0,31171.0,31210.0,33337.0
97  -> 114 -> 108 -> 115 -> 104,31200.0,31303.0,31629.0,34970.0
111 -> 96  -> 112 -> 113 -> 103,31237.0,31289.0,31296.0,32623.0
104 -> 98  -> 115 -> 108 -> 97 ,31255.0,31271.0,31292.0,32045.0
109 -> 99  -> 100 -> 111 -> 104,31256.0,31259.0,31336.0,33000.0
102 -> 108 -> 114 -> 97  -> 115,31260.0,31353.0,31665.0,32953.0
108 -> 114 -> 100 -> 111 -> 99 ,31261.0,31324.0,31324.0,33488.0
98  -> 109 -> 104 -> 111 -> 99 ,31315.0,31330.0,31470.0,32668.0
113 -> 103 -> 109 -> 104 -> 98 ,31360.0,31384.0,31553.0,32710.0
104 -> 111 -> 100 -> 109 -> 101,31365.0,31409.0,31470.0,33539.0
103 -> 109 -> 104 -> 96  -> 107,31366.0,31379.0,31487.0,32720.0
99  -> 111 -> 100 -> 109 -> 97 ,31373.0,31410.0,31508.0,32885.0
108 -> 114 -> 97  -> 115 -> 111,31378.0,31378.0,31605.0,32982.0
108 -> 103 -> 107 -> 115 -> 114,31392.0,31425.0,31425.0,32757.0
108 -> 114 -> 115 -> 97  -> 102,31404.0,31435.0,31576.0,33756.0
108 -> 114 -> 97  -> 115 -> 96 ,31442.0,31498.0,31542.0,33875.0
115 -> 108 -> 97  -> 114 -> 102,31445.0,31500.0,31555.0,33080.0
97  -> 108 -> 114 -> 115 -> 104,31457.0,31563.0,31695.0,33413.0
103 -> 113 -> 104 -> 111 -> 100,31459.0,31525.0,31614.0,32784.0
112 -> 113 -> 103 -> 104 -> 109,31467.0,31478.0,31640.0,32100.0
103 -> 102 -> 113 -> 100 -> 111,31502.0,31530.0,32179.0,
108 -> 114 -> 111 -> 100 -> 99 ,31541.0,31561.0,31834.0,33660.0
114 -> 115 -> 98  -> 97  -> 102,31548.0,31616.0,31661.0,33936.0
114 -> 98  -> 102 -> 97  -> 115,31582.0,31628.0,31732.0,33418.0
113 -> 109 -> 104 -> 107 -> 96 ,31583.0,31601.0,31727.0,32942.0
106 -> 108 -> 115 -> 97  -> 114,31632.0,31651.0,31742.0,33312.0
113 -> 104 -> 111 -> 100 -> 109,31647.0,31716.0,31806.0,33836.0
96  -> 112 -> 107 -> 113 -> 103,31649.0,31654.0,31773.0,32325.0
102 -> 113 -> 100 -> 111 -> 104,31649.0,31682.0,32297.0,
112 -> 113 -> 107 -> 98  -> 96 ,31653.0,31665.0,31819.0,33405.0
108 -> 104 -> 111 -> 100 -> 109,31684.0,31684.0,31910.0,
99  -> 100 -> 111 -> 104 -> 109,31716.0,31756.0,31790.0,32641.0
97  -> 114 -> 108 -> 111 -> 105,31735.0,31769.0,31867.0,34605.0
103 -> 113 -> 104 -> 107 -> 96 ,31736.0,31747.0,31922.0,32967.0
103 -> 113 -> 111 -> 100 -> 109,31738.0,31775.0,31775.0,
114 -> 99  -> 115 -> 108 -> 102,31743.0,31743.0,31946.0,33454.0
112 -> 96  -> 113 -> 109 -> 103,31774.0,31782.0,31859.0,33305.0
104 -> 108 -> 103 -> 107 -> 115,31779.0,31779.0,31912.0,32708.0
106 -> 115 -> 108 -> 114 -> 97 ,31783.0,31804.0,31816.0,33261.0
99  -> 104 -> 109 -> 100 -> 111,31793.0,31810.0,31903.0,33032.0
104 -> 100 -> 111 -> 99  -> 109,31794.0,31826.0,31938.0,32719.0
106 -> 107 -> 113 -> 109 -> 103,31803.0,31805.0,31868.0,32763.0
106 -> 97  -> 114 -> 108 -> 102,31808.0,31896.0,31956.0,34308.0
103 -> 113 -> 107 -> 98  -> 109,31815.0,31822.0,31822.0,34404.0
98  -> 108 -> 115 -> 114 -> 97 ,31818.0,31819.0,31934.0,33865.0
104 -> 115 -> 107 -> 103 -> 109,31833.0,31853.0,31853.0,34056.0
97  -> 115 -> 98  -> 107 -> 96 ,31836.0,31883.0,31966.0,34750.0
107 -> 113 -> 109 -> 103 -> 104,31841.0,31861.0,31953.0,32829.0
96  -> 108 -> 103 -> 115 -> 107,31867.0,31873.0,31909.0,33993.0
103 -> 113 -> 107 -> 98  -> 106,31877.0,31956.0,32019.0,33193.0
115 -> 108 -> 100 -> 114 -> 102,31905.0,31905.0,32024.0,33489.0
106 -> 112 -> 113 -> 103 -> 109,31906.0,31984.0,31984.0,33399.0
100 -> 113 -> 98  -> 109 -> 104,31957.0,31964.0,32168.0,32962.0
102 -> 114 -> 108 -> 115 -> 97 ,31967.0,32045.0,32325.0,34621.0
113 -> 103 -> 109 -> 96  -> 107,31981.0,32001.0,32209.0,33318.0
104 -> 109 -> 113 -> 111 -> 105,31984.0,31992.0,32070.0,34359.0
108 -> 97  -> 115 -> 114 -> 99 ,31999.0,32038.0,32153.0,33191.0
109 -> 103 -> 113 -> 107 -> 98 ,32009.0,32131.0,32252.0,33183.0
98  -> 109 -> 111 -> 99  -> 100,32012.0,32031.0,32066.0,33721.0
114 -> 108 -> 115 -> 98  -> 102,32052.0,32068.0,32140.0,33489.0
114 -> 97  -> 108 -> 102 -> 115,32053.0,32074.0,32296.0,34498.0
104 -> 100 -> 109 -> 111 -> 99 ,32066.0,32077.0,32238.0,32988.0
108 -> 97  -> 114 -> 115 -> 107,32085.0,32144.0,32311.0,34268.0
96  -> 115 -> 111 -> 97  -> 109,32086.0,32153.0,32334.0,34853.0
104 -> 108 -> 97  -> 114 -> 115,32087.0,32114.0,32258.0,34898.0
96  -> 103 -> 113 -> 109 -> 104,32102.0,32158.0,32206.0,33938.0
96  -> 112 -> 113 -> 103 -> 104,32108.0,32131.0,32288.0,33425.0
108 -> 115 -> 114 -> 97  -> 102,32120.0,32164.0,32195.0,34052.0
106 -> 114 -> 108 -> 97  -> 115,32139.0,32191.0,32225.0,32734.0
104 -> 109 -> 111 -> 99  -> 100,32147.0,32176.0,32215.0,33878.0
104 -> 111 -> 109 -> 100 -> 99 ,32164.0,32204.0,32248.0,33102.0
108 -> 97  -> 114 -> 115 -> 109,32175.0,32187.0,32353.0,34651.0
99  -> 114 -> 115 -> 98  -> 96 ,32181.0,32241.0,32587.0,34538.0
111 -> 96  -> 112 -> 113 -> 109,32213.0,32238.0,32309.0,33744.0
103 -> 113 -> 109 -> 104 -> 107,32215.0,32298.0,32305.0,33984.0
108 -> 114 -> 115 -> 97  -> 99 ,32233.0,32306.0,32520.0,34312.0
112 -> 105 -> 96  -> 103 -> 111,32238.0,32262.0,32380.0,34063.0
115 -> 97  -> 114 -> 108 -> 102,32249.0,32281.0,32373.0,34965.0
112 -> 107 -> 113 -> 103 -> 109,32264.0,32277.0,32447.0,32829.0
106 -> 97  -> 114 -> 108 -> 115,32272.0,32325.0,32325.0,34437.0
104 -> 107 -> 109 -> 113 -> 96 ,32274.0,32287.0,32323.0,
105 -> 110 -> 97  -> 107 -> 101,32278.0,32303.0,32343.0,34200.0
106 -> 97  -> 108 -> 114 -> 115,32278.0,32288.0,32676.0,33922.0
104 -> 98  -> 115 -> 97  -> 114,32292.0,32305.0,32346.0,34993.0
100 -> 115 -> 108 -> 114 -> 102,32307.0,32363.0,32477.0,34594.0
100 -> 115 -> 108 -> 102 -> 114,32323.0,32373.0,32439.0,34567.0
115 -> 113 -> 100 -> 114 -> 102,32349.0,32349.0,32460.0,33687.0
99  -> 111 -> 100 -> 106 -> 97 ,32379.0,32414.0,32608.0,33796.0
