,10,20,40,80
115 -> 108 -> 98  -> 97  -> 102,29859.13869648154,29864.348260037412,29864.348260037412,31962.158202830917
99  -> 115 -> 108 -> 114 -> 102,29859.632785607864,29859.632785607864,30053.655558007657,31445.177229772133
99  -> 98  -> 102 -> 97  -> 115,29905.10122247407,29926.65233551259,30039.098636796905,31400.916352666107
100 -> 99  -> 104 -> 111 -> 109,29909.660690187055,29909.660690187055,29947.93609304755,31249.052616254085
99  -> 104 -> 100 -> 111 -> 109,30072.707869194204,30115.139342530012,30257.89980175253,31168.979019636416
106 -> 100 -> 99  -> 111 -> 104,30083.419708005604,30107.53702462276,30243.581300554117,31622.237973196345
108 -> 115 -> 98  -> 96  -> 107,30136.987832625957,30170.628263347455,30226.72453824883,31306.90420454041
109 -> 107 -> 113 -> 103 -> 104,30139.924753076368,30139.924753076368,30273.78587167622,31029.643982657984
104 -> 98  -> 108 -> 114 -> 97 ,30153.609729086187,30208.19279437459,30445.65559200492,32832.518291234264
102 -> 97  -> 115 -> 108 -> 114,30156.585388059055,30236.33150919937,30270.869956749866,33111.978925616364
104 -> 98  -> 108 -> 97  -> 114,30170.104064967385,30197.675117613293,30312.432321008335,32201.796327599794
108 -> 115 -> 98  -> 107 -> 96 ,30271.687844555923,30312.760304545118,30326.492048467844,31533.27242696671
104 -> 115 -> 108 -> 97  -> 114,30274.421077603634,30292.01606745663,30361.390539529515,31741.200393727442
114 -> 108 -> 97  -> 115 -> 104,30276.848025430387,30276.848025430387,30348.355254777896,31433.273439923243
104 -> 98  -> 115 -> 108 -> 114,30305.22135076906,30316.62604292692,30336.864103055435,31457.754656717043
101 -> 104 -> 109 -> 111 -> 97 ,30309.133706780074,30322.277078444662,30334.41495068126,31543.849337116848
96  -> 108 -> 97  -> 114 -> 115,30317.541615236667,30374.379384089916,30403.58687736577,31439.968924556255
114 -> 108 -> 97  -> 115 -> 102,30347.627216528006,30363.298351423888,30394.46004043428,31335.107963386807
96  -> 112 -> 113 -> 109 -> 104,30357.155581020743,30390.975158881312,30473.33697179985,31913.740488994434
114 -> 115 -> 108 -> 102 -> 97 ,30368.469177134633,30408.534334762553,30432.153459584577,32100.619174330233
99  -> 115 -> 108 -> 114 -> 101,30368.631101847095,30368.631101847095,30450.34354528527,30863.257878877004
105 -> 97  -> 110 -> 107 -> 101,30373.980681707635,30398.12886802035,30497.741468437904,32240.87934101559
104 -> 111 -> 100 -> 99  -> 109,30395.07063030026,30395.07063030026,30478.78377497594,31483.925587520553
115 -> 114 -> 108 -> 102 -> 97 ,30396.770159371372,30418.115547928555,30440.973354823494,31661.687964437733
102 -> 114 -> 99  -> 108 -> 115,30401.064652230933,30408.468717016607,30602.92211984683,31333.321925323824
108 -> 103 -> 107 -> 115 -> 102,30402.616487262872,30457.236253282295,30515.11718815072,31934.30617629813
102 -> 114 -> 115 -> 99  -> 108,30423.734559962784,30450.528760545476,30521.4934167015,32251.773360062234
107 -> 108 -> 114 -> 97  -> 115,30426.935124463125,30462.324128760192,30628.607756105157,31758.670096508416
109 -> 113 -> 98  -> 96  -> 107,30437.23285234823,30453.615285071704,30588.96318785703,32325.08960658634
97  -> 115 -> 98  -> 96  -> 107,30447.313027018572,30457.969443699534,30543.715581775145,32493.544568617337
114 -> 115 -> 108 -> 98  -> 102,30464.574154231497,30464.574154231497,30643.525196621093,31624.41071177584
102 -> 97  -> 114 -> 108 -> 115,30483.52480257291,30492.605896395173,30492.605896395173,31747.16416139673
113 -> 100 -> 98  -> 109 -> 104,30487.68397635054,30502.63236629652,30627.651183558308,31500.455849871032
98  -> 108 -> 97  -> 115 -> 114,30506.664100498616,30528.366574108026,30540.740311727404,32198.55990492866
104 -> 108 -> 114 -> 97  -> 115,30513.97640311724,30584.545623902515,30811.50086554732,32747.444283019286
104 -> 101 -> 109 -> 111 -> 97 ,30518.178836292296,30532.85175636883,30532.85175636883,31884.082366987186
109 -> 113 -> 103 -> 107 -> 96 ,30524.39662879042,30606.95176406381,30644.21901118574,32482.380615656562
102 -> 113 -> 111 -> 100 -> 104,30547.555468639104,30584.4900259875,30870.672203886024,32860.94315849918
97  -> 114 -> 108 -> 102 -> 115,30564.728324704156,30604.620066474996,30715.30163843495,33751.0909376112
113 -> 107 -> 96  -> 98  -> 109,30589.376953532977,30598.56395589374,30711.405765763804,32330.273300663335
113 -> 103 -> 107 -> 98  -> 96 ,30611.650354933816,30701.63631828449,30747.918076688344,33027.35305396451
104 -> 109 -> 100 -> 111 -> 99 ,30611.992533860644,30647.52911881754,30738.312268155903,31600.871013304804
112 -> 108 -> 103 -> 107 -> 115,30630.454608035558,30644.941540211858,30931.192028734928,32053.861984276926
96  -> 108 -> 114 -> 115 -> 97 ,30639.73196672791,30706.28651605841,30924.935531085048,32627.84911467377
106 -> 99  -> 111 -> 100 -> 109,30694.40610347264,30698.04037514658,30911.230327509114,32921.80638145351
97  -> 114 -> 108 -> 115 -> 102,30698.84307552928,30746.509632892226,30888.609582464764,32311.18324454729
109 -> 113 -> 98  -> 107 -> 96 ,30717.799940021003,30743.052904182285,30897.59759731016,32853.87111664626
112 -> 113 -> 107 -> 96  -> 98 ,30731.489711565868,30739.835804320963,30834.31586242292,31807.661565762417
106 -> 107 -> 109 -> 113 -> 103,30733.91241221064,30743.42964950286,30762.802086779695,31405.351028081917
102 -> 97  -> 108 -> 114 -> 115,30798.38329213324,30904.47147586556,30920.284496038348,33550.53437371603
113 -> 103 -> 109 -> 104 -> 96 ,30805.88240435356,30808.604419722946,30930.006833490806,31952.363421389447
98  -> 108 -> 115 -> 97  -> 114,30811.799645640425,30844.280637028012,30847.138594141787,32768.96280275592
102 -> 113 -> 104 -> 100 -> 111,30825.43347885864,30896.74420833541,31090.458392847962,31718.006646745518
113 -> 103 -> 107 -> 96  -> 98 ,30828.592547966044,30858.884877997472,30980.65628689607,33060.26498713535
108 -> 98  -> 102 -> 97  -> 115,30832.24299471621,30858.85062366,30941.600596091455,32479.81698379913
101 -> 104 -> 109 -> 97  -> 111,30878.897528124886,30892.900375757003,30911.163737550218,32030.076907979732
97  -> 108 -> 114 -> 115 -> 102,30887.452272211372,30903.58783818918,31434.266306494916,32861.781025144046
96  -> 115 -> 111 -> 109 -> 97 ,30925.025160586178,31070.04103471615,31335.795721037175,34028.142305321264
102 -> 97  -> 115 -> 98  -> 107,30975.864721835642,31003.95561933678,31003.95561933678,33438.374832820125
103 -> 108 -> 115 -> 107 -> 102,31005.86499103098,31013.66220407411,31115.857886930302,32165.608167108727
109 -> 113 -> 103 -> 107 -> 98 ,31012.788550847683,31045.296176861146,31062.37138229407,33049.21548497226
97  -> 114 -> 108 -> 102 -> 104,31027.081028313994,31069.479121017826,31180.766892425796,33942.60120345119
106 -> 99  -> 100 -> 111 -> 104,31028.235545584543,31043.160750662362,31073.739059347132,32085.0199021589
104 -> 109 -> 100 -> 99  -> 111,31061.371741432893,31069.907960671993,31216.165288799333,32052.208623183877
106 -> 108 -> 97  -> 115 -> 114,31066.744534169044,31096.105335916043,31314.70025144856,32032.413324835892
109 -> 103 -> 113 -> 107 -> 96 ,31083.905065360257,31096.424282157688,31514.69724583933,32644.483045952446
113 -> 107 -> 109 -> 103 -> 104,31093.991221280106,31098.222853758307,31186.916191983357,32286.43181127803
111 -> 104 -> 99  -> 100 -> 109,31112.40762957612,31128.094377997644,31239.362559871897,32172.17600511021
104 -> 111 -> 100 -> 106 -> 97 ,31141.113338092167,31191.870363731497,31389.179363607407,31908.69696358659
115 -> 98  -> 107 -> 96  -> 109,31142.639884400553,31178.86842029202,31307.497771738126,33459.699274611325
115 -> 98  -> 96  -> 107 -> 109,31152.61217711118,31171.89867733123,31210.709394788093,33337.83918347438
97  -> 114 -> 108 -> 115 -> 104,31200.320537165862,31303.668977345547,31629.324198626513,34970.77091942659
111 -> 96  -> 112 -> 113 -> 103,31237.353428687828,31289.666210390737,31296.569438876762,32623.616265267483
104 -> 98  -> 115 -> 108 -> 97 ,31255.745110354994,31271.57489352287,31292.815367288676,32045.44108784446
109 -> 99  -> 100 -> 111 -> 104,31256.91080273815,31259.478452699557,31336.50382625345,33000.84401209613
102 -> 108 -> 114 -> 97  -> 115,31260.291052984896,31353.903128764257,31665.381750692868,32953.88296577848
108 -> 114 -> 100 -> 111 -> 99 ,31261.249441082102,31324.292111460913,31324.292111460913,33488.95493003586
98  -> 109 -> 104 -> 111 -> 99 ,31315.48056874207,31330.203783318844,31470.735130084027,32668.00741998682
113 -> 103 -> 109 -> 104 -> 98 ,31360.576221887386,31384.15364064424,31553.583290910552,32710.355848594
104 -> 111 -> 100 -> 109 -> 101,31365.552726786,31409.662132478465,31470.83470437555,33539.69486951587
103 -> 109 -> 104 -> 96  -> 107,31366.736497060378,31379.820550544962,31487.578055936927,32720.83312531665
99  -> 111 -> 100 -> 109 -> 97 ,31373.217078607304,31410.31707313349,31508.447056648925,32885.194893046035
108 -> 114 -> 97  -> 115 -> 111,31378.76583843217,31378.76583843217,31605.35318956473,32982.3569794052
108 -> 103 -> 107 -> 115 -> 114,31392.01510720166,31425.80850360891,31425.80850360891,32757.481225389645
108 -> 114 -> 115 -> 97  -> 102,31404.464862408135,31435.01672096197,31576.161632928815,33756.59144353897
108 -> 114 -> 97  -> 115 -> 96 ,31442.51835605126,31498.87625048798,31542.797429763927,33875.578283521216
115 -> 108 -> 97  -> 114 -> 102,31445.794661653938,31500.145534005136,31555.3026456313,33080.46291263554
97  -> 108 -> 114 -> 115 -> 104,31457.754873742924,31563.24046969987,31695.520175732025,33413.62737503537
103 -> 113 -> 104 -> 111 -> 100,31459.91083173213,31525.630967039855,31614.367753705978,32784.54698813046
112 -> 113 -> 103 -> 104 -> 109,31467.536373957286,31478.470184073765,31640.24964740278,32100.654773768263
103 -> 102 -> 113 -> 100 -> 111,31502.454794133824,31530.792847323904,32179.726403260913,
108 -> 114 -> 111 -> 100 -> 99 ,31541.519130851622,31561.14408027536,31834.582529149557,33660.547714686865
114 -> 115 -> 98  -> 97  -> 102,31548.519592443958,31616.48046703448,31661.308734271868,33936.380338034185
114 -> 98  -> 102 -> 97  -> 115,31582.633646865674,31628.737709628265,31732.873903327356,33418.23002399832
113 -> 109 -> 104 -> 107 -> 96 ,31583.254037704435,31601.349604721312,31727.90129210136,32942.71311635432
106 -> 108 -> 115 -> 97  -> 114,31632.739526440582,31651.985283714097,31742.21905502712,33312.262583440985
113 -> 104 -> 111 -> 100 -> 109,31647.94154140012,31716.835305292334,31806.426447725415,33836.810629860855
96  -> 112 -> 107 -> 113 -> 103,31649.474612397393,31654.731060627295,31773.767148304036,32325.704053917725
102 -> 113 -> 100 -> 111 -> 104,31649.683799927567,31682.58664878356,32297.05006262986,
112 -> 113 -> 107 -> 98  -> 96 ,31653.938914644605,31665.837620567185,31819.797245709702,33405.92796598262
108 -> 104 -> 111 -> 100 -> 109,31684.035155855014,31684.035155855014,31910.9187113301,
99  -> 100 -> 111 -> 104 -> 109,31716.519088379362,31756.111967227673,31790.97258251405,32641.4432158954
97  -> 114 -> 108 -> 111 -> 105,31735.689020586673,31769.076811493745,31867.13787854922,34605.70395551447
103 -> 113 -> 104 -> 107 -> 96 ,31736.51462702947,31747.846835014163,31922.787983671515,32967.412013292575
103 -> 113 -> 111 -> 100 -> 109,31738.226112023294,31775.28241968468,31775.28241968468,
114 -> 99  -> 115 -> 108 -> 102,31743.842240422513,31743.92529952638,31946.021164033198,33454.97071420634
112 -> 96  -> 113 -> 109 -> 103,31774.40966709938,31782.11310233963,31859.559874722967,33305.65387049689
104 -> 108 -> 103 -> 107 -> 115,31779.058144194234,31779.42405700902,31912.526832037696,32708.622437037375
106 -> 115 -> 108 -> 114 -> 97 ,31783.349923036512,31804.285212872644,31816.457362400517,33261.76658969901
99  -> 104 -> 109 -> 100 -> 111,31793.144100500445,31810.481114726754,31903.5393972875,33032.42092454475
104 -> 100 -> 111 -> 99  -> 109,31794.01912174635,31826.134410262493,31938.620979734034,32719.151564374264
106 -> 107 -> 113 -> 109 -> 103,31803.610960452643,31805.29384838695,31868.921463151455,32763.786240938465
106 -> 97  -> 114 -> 108 -> 102,31808.540839034245,31896.18103100653,31956.770217690522,34308.878007166226
103 -> 113 -> 107 -> 98  -> 109,31815.716844365616,31822.719646259953,31822.719646259953,34404.3119601786
98  -> 108 -> 115 -> 114 -> 97 ,31818.11358860619,31819.23170932113,31934.583944488222,33865.06779870722
104 -> 115 -> 107 -> 103 -> 109,31833.97872060554,31853.904073696733,31853.904073696733,34056.537867839754
97  -> 115 -> 98  -> 107 -> 96 ,31836.11607088389,31883.052851535642,31966.113808857986,34750.637897333596
107 -> 113 -> 109 -> 103 -> 104,31841.642431448694,31861.285744894645,31953.973972788746,32829.61855817469
96  -> 108 -> 103 -> 115 -> 107,31867.575631397645,31873.26967295334,31909.267514940406,33993.04481156823
103 -> 113 -> 107 -> 98  -> 106,31877.524903678815,31956.349837767826,32019.63076011037,33193.78470171298
115 -> 108 -> 100 -> 114 -> 102,31905.15789828666,31905.15789828666,32024.245655992636,33489.30230096321
106 -> 112 -> 113 -> 103 -> 109,31906.51169678704,31984.20342040729,31984.20342040729,33399.62137644101
100 -> 113 -> 98  -> 109 -> 104,31957.890063937986,31964.760911640937,32168.796990253286,32962.75978113573
102 -> 114 -> 108 -> 115 -> 97 ,31967.069282507044,32045.94588065494,32325.39695603578,34621.661603282664
113 -> 103 -> 109 -> 96  -> 107,31981.98328271348,32001.397545973465,32209.11501124799,33318.138756430955
104 -> 109 -> 113 -> 111 -> 105,31984.890344070292,31992.45751830942,32070.759064926642,34359.50517483684
108 -> 97  -> 115 -> 114 -> 99 ,31999.883227172984,32038.12956688863,32153.639161098385,33191.17045459881
109 -> 103 -> 113 -> 107 -> 98 ,32009.836437924438,32131.33979567949,32252.56153967671,33183.10622401848
98  -> 109 -> 111 -> 99  -> 100,32012.61422224462,32031.37552711636,32066.32391550588,33721.583901795486
114 -> 108 -> 115 -> 98  -> 102,32052.318040769132,32068.36616111183,32140.539272931666,33489.18065394422
114 -> 97  -> 108 -> 102 -> 115,32053.490811527023,32074.209761004415,32296.345475017464,34498.90783604747
104 -> 100 -> 109 -> 111 -> 99 ,32066.70084932417,32077.416687840752,32238.13115350715,32988.53285795373
108 -> 97  -> 114 -> 115 -> 107,32085.375179911905,32144.740332480833,32311.00729803207,34268.66950464961
96  -> 115 -> 111 -> 97  -> 109,32086.064519147356,32153.080995812736,32334.273251271465,34853.3402528278
104 -> 108 -> 97  -> 114 -> 115,32087.54864100121,32114.40849297981,32258.77950969712,34898.90439991626
96  -> 103 -> 113 -> 109 -> 104,32102.295376801318,32158.040910829826,32206.554537099615,33938.06276567612
96  -> 112 -> 113 -> 103 -> 104,32108.564826795486,32131.85533637387,32288.336804138828,33425.891985071656
108 -> 115 -> 114 -> 97  -> 102,32120.850203128386,32164.685714202285,32195.371151984444,34052.74501688979
106 -> 114 -> 108 -> 97  -> 115,32139.14653413571,32191.849401359537,32225.2809301535,32734.019856595445
104 -> 109 -> 111 -> 99  -> 100,32147.230602654396,32176.87098420343,32215.22716048907,33878.20568594272
104 -> 111 -> 109 -> 100 -> 99 ,32164.357501948136,32204.10729534212,32248.356173886084,33102.7722111017
108 -> 97  -> 114 -> 115 -> 109,32175.21455157794,32187.657657360367,32353.924622911603,34651.547232305114
99  -> 114 -> 115 -> 98  -> 96 ,32181.626904963377,32241.054780691935,32587.5403423763,34538.32263611828
111 -> 96  -> 112 -> 113 -> 109,32213.525888584896,32238.262318362446,32309.943837274488,33744.70281315522
103 -> 113 -> 109 -> 104 -> 107,32215.34650363585,32298.615319696764,32305.102687336446,33984.81552214923
108 -> 114 -> 115 -> 97  -> 99 ,32233.174335083804,32306.815373427977,32520.409192442712,34312.06035937365
112 -> 105 -> 96  -> 103 -> 111,32238.052743313157,32262.633500619555,32380.301328751382,34063.04507948618
115 -> 97  -> 114 -> 108 -> 102,32249.307894456862,32281.655407048565,32373.208519503496,34965.89362618451
112 -> 107 -> 113 -> 103 -> 109,32264.301746226585,32277.55990562779,32447.779580497638,32829.161242920665
106 -> 97  -> 114 -> 108 -> 115,32272.06074077204,32325.84386123294,32325.84386123294,34437.95120985161
104 -> 107 -> 109 -> 113 -> 96 ,32274.842595535443,32287.8531473073,32323.74247728294,
106 -> 97  -> 108 -> 114 -> 115,32278.400702672745,32288.66696659865,32676.80438125657,33922.290233524895
105 -> 110 -> 97  -> 107 -> 101,32278.45708372753,32303.493249962452,32343.755926597787,34200.25921670139
